label,quality_profile,min_quality_score,extreme_entry_mode,window,window_start,window_end,pure_trading_pnl,rebate_pnl,net_pnl,closed_lots,pure_pnl_per_lot,net_pnl_per_lot,rebate_share_of_profit,score_objective,score,passes_rebate_guards,rebate_guard_reason,max_drawdown_pct,win_rate_pct,signals_included,tick_signals,m1_signals,data_source_mixed,partial_tick_lifecycle_excluded,open_or_pending_left,included_in_ranking,opposite_signal_policy,same_side_overlap_policy,collision_policy_pnl,opposite_collisions_total,opposite_collisions_allowed,opposite_collisions_rejected,opposite_collisions_flipped,opposite_collisions_profit_bank_rearmed,same_side_clusters_total,same_side_clusters_accepted,same_side_clusters_rejected,same_side_clusters_downsized,max_same_side_cluster_risk,max_opposite_exposure
base,off,0.0,off,jun_jul,2026-06-01,2026-08-01,170265.73,1533.12,171798.85,511.04,333.175,336.175,0.0089,edge_plus_rebate_guarded,171798.85,True,ok,14.28,42.7,1870,1453,417,True,True,False,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
trend_only,trend_only,0.0,off,jun_jul,2026-06-01,2026-08-01,11236.89,96.09,11332.98,32.03,350.8239,353.8239,0.0085,edge_plus_rebate_guarded,11332.98,True,ok,7.79,46.3,140,98,42,True,True,False,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
reversal_extreme,reversal_extreme,0.0,off,jun_jul,2026-06-01,2026-08-01,980.48,37.53,1018.01,12.51,78.3757,81.3757,0.0369,edge_plus_rebate_guarded,1018.01,True,ok,7.67,46.2,41,21,20,True,True,False,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
hybrid_quality,hybrid_quality,0.0,off,jun_jul,2026-06-01,2026-08-01,12195.76,139.14,12334.9,46.38,262.953,265.953,0.0113,edge_plus_rebate_guarded,12334.9,True,ok,7.27,46.2,181,119,62,True,True,False,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
high_frequency_quality,high_frequency_quality,0.0,off,jun_jul,2026-06-01,2026-08-01,12195.76,139.14,12334.9,46.38,262.953,265.953,0.0113,edge_plus_rebate_guarded,12334.9,True,ok,7.27,46.2,181,119,62,True,True,False,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
extreme_support_demand,off,0.0,support_demand,jun_jul,2026-06-01,2026-08-01,-1884.63,48.36,-1836.27,16.12,-116.9125,-113.9125,1.0,edge_plus_rebate_guarded,-1884.63,False,pure_pnl_below_min,8.33,32.7,52,25,27,True,True,False,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
extreme_supply_resistance,off,0.0,supply_resistance,jun_jul,2026-06-01,2026-08-01,2841.58,6.27,2847.85,2.09,1359.6077,1362.6077,0.0022,edge_plus_rebate_guarded,2847.85,True,ok,0.45,57.9,20,18,2,True,True,False,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
extreme_both,off,0.0,both,jun_jul,2026-06-01,2026-08-01,1254.21,55.11,1309.32,18.37,68.2749,71.2749,0.0421,edge_plus_rebate_guarded,1309.32,True,ok,7.97,39.7,72,43,29,True,True,False,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
reject_opposite,off,0.0,off,jun_jul,2026-06-01,2026-08-01,45920.2,692.22,46612.42,230.74,199.0127,202.0127,0.0149,edge_plus_rebate_guarded,46612.42,True,ok,15.48,42.6,1187,925,262,True,True,False,False,reject_opposite,allow_all,0.0,683,0,683,0,0,0,0,0,0,0.0,7.45
profit_bank_rearm,off,0.0,off,jun_jul,2026-06-01,2026-08-01,164996.18,1511.61,166507.79,503.87,327.4578,330.4578,0.0091,edge_plus_rebate_guarded,166507.79,True,ok,14.38,42.7,1870,1453,417,True,True,False,False,profit_bank_rearm,allow_all,-3869.25,1008,983,0,0,25,0,0,0,0,0.0,13.18
same_reject_overlap,off,0.0,off,jun_jul,2026-06-01,2026-08-01,36404.29,402.72,36807.01,134.24,271.1881,274.1881,0.0109,edge_plus_rebate_guarded,36807.01,True,ok,3.83,42.6,735,577,158,True,True,False,False,allow_hedge,reject_overlap,0.0,0,0,0,0,0,1135,0,1135,0,0.0,0.0
same_scale_better_only,off,0.0,off,jun_jul,2026-06-01,2026-08-01,36404.29,402.72,36807.01,134.24,271.1881,274.1881,0.0109,edge_plus_rebate_guarded,36807.01,True,ok,3.83,42.6,735,577,158,True,True,False,False,allow_hedge,scale_in_better_entry_only,0.0,0,0,0,0,0,1135,0,1135,0,0.0,0.0
same_scale_fixed_risk,off,0.0,off,jun_jul,2026-06-01,2026-08-01,36404.29,402.72,36807.01,134.24,271.1881,274.1881,0.0109,edge_plus_rebate_guarded,36807.01,True,ok,3.83,42.6,735,577,158,True,True,False,False,allow_hedge,scale_in_fixed_risk,0.0,0,0,0,0,0,1135,0,1135,0,0.0,0.0
hybrid_quality_profit_bank,hybrid_quality,0.0,off,jun_jul,2026-06-01,2026-08-01,11922.76,138.9,12061.66,46.3,257.511,260.511,0.0115,edge_plus_rebate_guarded,12061.66,True,ok,7.21,46.2,181,119,62,True,True,False,False,profit_bank_rearm,allow_all,-337.8,16,15,0,0,1,0,0,0,0,0.0,2.8
hybrid_quality_scale_better,hybrid_quality,0.0,off,jun_jul,2026-06-01,2026-08-01,4597.84,61.26,4659.1,20.42,225.1636,228.1636,0.0131,edge_plus_rebate_guarded,4659.1,True,ok,4.35,44.3,92,64,28,True,True,False,False,allow_hedge,scale_in_better_entry_only,0.0,0,0,0,0,0,89,0,89,0,0.0,0.0
hybrid_quality_profit_bank_scale_better,hybrid_quality,0.0,off,jun_jul,2026-06-01,2026-08-01,4293.82,61.26,4355.08,20.42,210.2752,213.2752,0.0141,edge_plus_rebate_guarded,4355.08,True,ok,4.35,44.3,92,64,28,True,True,False,False,profit_bank_rearm,scale_in_better_entry_only,-304.02,16,7,0,0,1,89,0,89,0,0.0,0.72
hybrid_quality_extreme_both_profit_bank_scale_better,hybrid_quality,0.0,both,jun_jul,2026-06-01,2026-08-01,1327.58,24.36,1351.94,8.12,163.4951,166.4951,0.018,edge_plus_rebate_guarded,1351.94,True,ok,3.17,45.2,33,20,13,True,True,False,False,profit_bank_rearm,scale_in_better_entry_only,0.0,2,2,0,0,0,31,0,31,0,0.0,0.12
