rank,cell,mode,trailing_open,trailing_close,lock_delay,sl_multiplier,net_profit,max_drawdown_pct,passes_dd,beats_toc5,win_rate_pct,signals_included,tick_signals,m1_signals
1,trail_tp2_tc05_dly24_slm18,trail_tp2,0.5,0.5,24,1.8,166819.76,23.65,True,False,35.3,1643,1260,383
2,trail_tp2_tc10_dly24_slm18,trail_tp2,0.5,1.0,24,1.8,156476.07,23.65,True,False,35.3,1643,1260,383
3,toc5_tc05_dly24_slm18,toc5,0.5,0.5,24,1.8,155852.66,23.65,True,False,36.9,1643,1260,383
4,bep_half_tc05_dly24_slm18,bep_half,0.5,0.5,24,1.8,155852.66,23.65,True,False,36.9,1643,1260,383
5,bep_half_tc10_dly24_slm18,bep_half,0.5,1.0,24,1.8,144337.32,23.65,True,False,36.9,1643,1260,383
6,toc5_tc10_dly24_slm18,toc5,0.5,1.0,24,1.8,144337.32,23.65,True,False,36.9,1643,1260,383
7,scaleout_tc05_dly24_slm18,scaleout,0.5,0.5,24,1.8,127514.12,23.65,True,False,37.0,1643,1260,383
8,scaleout_tc10_dly24_slm18,scaleout,0.5,1.0,24,1.8,118360.35,23.65,True,False,37.0,1643,1260,383
9,trail_tp2_tc05_dly24_slm21,trail_tp2,0.5,0.5,24,2.1,116789.07,23.71,True,False,38.3,1643,1260,383
10,bep_half_tc05_dly24_slm21,bep_half,0.5,0.5,24,2.1,112054.04,23.71,True,False,39.9,1643,1260,383
11,toc5_tc05_dly24_slm21,toc5,0.5,0.5,24,2.1,112054.04,23.71,True,False,39.9,1643,1260,383
12,trail_tp2_tc10_dly24_slm21,trail_tp2,0.5,1.0,24,2.1,111319.0,23.71,True,False,38.3,1643,1260,383
13,toc5_tc10_dly24_slm21,toc5,0.5,1.0,24,2.1,103435.12,23.71,True,False,39.9,1643,1260,383
14,bep_half_tc10_dly24_slm21,bep_half,0.5,1.0,24,2.1,103435.12,23.71,True,False,39.9,1643,1260,383
15,trail_tp2_tc05_dly0_slm18,trail_tp2,0.5,0.5,0,1.8,99619.87,23.65,True,False,35.6,1643,1260,383
16,scaleout_tc05_dly24_slm21,scaleout,0.5,0.5,24,2.1,91898.0,23.71,True,False,39.9,1643,1260,383
17,trail_tp2_tc10_dly0_slm18,trail_tp2,0.5,1.0,0,1.8,90011.13,23.65,True,False,35.6,1643,1260,383
18,scaleout_tc10_dly24_slm21,scaleout,0.5,1.0,24,2.1,86484.12,23.71,True,False,39.9,1643,1260,383
19,trail_tp2_tc05_dly0_slm21,trail_tp2,0.5,0.5,0,2.1,68675.66,24.73,True,False,38.5,1643,1260,383
20,trail_tp2_tc10_dly0_slm21,trail_tp2,0.5,1.0,0,2.1,63183.49,25.77,True,False,38.5,1643,1260,383
21,toc5_tc05_dly0_slm18,toc5,0.5,0.5,0,1.8,47409.87,31.89,True,False,37.1,1643,1260,383
22,bep_half_tc05_dly0_slm18,bep_half,0.5,0.5,0,1.8,47409.87,31.89,True,False,37.1,1643,1260,383
23,scaleout_tc05_dly0_slm18,scaleout,0.5,0.5,0,1.8,45691.3,32.35,True,False,37.2,1643,1260,383
24,bep_half_tc10_dly0_slm18,bep_half,0.5,1.0,0,1.8,40992.55,33.68,True,False,37.1,1643,1260,383
25,toc5_tc10_dly0_slm18,toc5,0.5,1.0,0,1.8,40992.55,33.68,True,False,37.1,1643,1260,383
26,scaleout_tc10_dly0_slm18,scaleout,0.5,1.0,0,1.8,40081.31,33.95,True,False,37.2,1643,1260,383
27,toc5_tc05_dly0_slm21,toc5,0.5,0.5,0,2.1,31429.88,34.13,True,False,39.8,1643,1260,383
28,bep_half_tc05_dly0_slm21,bep_half,0.5,0.5,0,2.1,31429.88,34.13,True,False,39.8,1643,1260,383
29,scaleout_tc05_dly0_slm21,scaleout,0.5,0.5,0,2.1,30496.79,34.46,True,False,40.0,1643,1260,383
30,bep_half_tc10_dly0_slm21,bep_half,0.5,1.0,0,2.1,28141.85,35.32,True,False,39.7,1643,1260,383
31,toc5_tc10_dly0_slm21,toc5,0.5,1.0,0,2.1,28141.85,35.32,True,False,39.7,1643,1260,383
32,scaleout_tc10_dly0_slm21,scaleout,0.5,1.0,0,2.1,28124.8,35.33,True,False,39.9,1643,1260,383
