rank,cell,trailing_open,trailing_close,after_stage,tp1_lock_delay,tick_pnl,m1_pnl,gap,max_drawdown_pct,n_signals,n_nofill
1,to00_tc00_af1,0.0,0.0,1,24,28068.7,-7243.57,-35312.27,87.69,1570,628
2,to00_tc05_af1,0.0,0.5,1,24,28068.7,90356.48,62287.78,87.69,1570,628
3,to00_tc00_af0,0.0,0.0,0,24,28068.7,40947.18,12878.48,87.69,1570,628
4,to00_tc10_af1,0.0,1.0,1,24,28068.7,82278.63,54209.93,87.69,1570,628
5,to00_tc10_af0,0.0,1.0,0,24,24850.44,8874.54,-15975.9,88.29,1570,628
6,to00_tc05_af0,0.0,0.5,0,24,23389.03,18871.74,-4517.29,87.95,1570,628
7,to05_tc05_af0,0.5,0.5,0,24,20933.02,77307.01,56373.99,59.57,1570,827
8,to10_tc05_af0,1.0,0.5,0,24,20487.73,56686.69,36198.96,50.24,1570,864
9,to10_tc10_af0,1.0,1.0,0,24,18728.77,46315.47,27586.7,50.24,1570,864
10,to05_tc10_af0,0.5,1.0,0,24,17692.3,64173.21,46480.91,61.58,1570,827
11,to05_tc05_af1,0.5,0.5,1,24,16995.59,162913.76,145918.17,63.19,1570,827
12,to05_tc00_af0,0.5,0.0,0,24,16995.59,114117.98,97122.39,63.19,1570,827
13,to05_tc00_af1,0.5,0.0,1,24,16995.59,58101.75,41106.16,63.19,1570,827
14,to05_tc10_af1,0.5,1.0,1,24,16995.59,154376.03,137380.44,63.19,1570,827
15,to10_tc05_af1,1.0,0.5,1,24,11786.8,139645.6,127858.8,51.94,1570,864
16,to10_tc00_af1,1.0,0.0,1,24,11786.8,36627.86,24841.06,51.94,1570,864
17,to10_tc10_af1,1.0,1.0,1,24,11786.8,131461.01,119674.21,51.94,1570,864
18,to10_tc00_af0,1.0,0.0,0,24,11786.8,91531.79,79744.99,51.94,1570,864
